    INFO: 2026-03-09 18:03:28,315:               log.py:   20: Logging to C:\Projects\DATA622\Week1\Lab1\mdpdf.log
   DEBUG: 2026-03-09 18:03:28,315:               cli.py:  103: PresentationScript.md
    INFO: 2026-03-09 18:03:28,331:         converter.py:   14: PresentationScript.md
   DEBUG: 2026-03-09 18:03:28,356:      pdf_renderer.py:  470: printSegment: PRESENTATION SPEAKER SCRIPT
   DEBUG: 2026-03-09 18:03:28,372:      pdf_renderer.py:  470: printSegment: Intelligent Pharmacy Inventory Management
   DEBUG: 2026-03-09 18:03:28,385:      pdf_renderer.py:  470: printSegment: ~5 Minutes | Print This Out 
   DEBUG: 2026-03-09 18:03:28,385:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-03-09 18:03:28,386:      pdf_renderer.py:  470: printSegment:  Keep It On The Podium
   DEBUG: 2026-03-09 18:03:28,388:      pdf_renderer.py:  470: printSegment: SLIDE 1 — Title (15 seconds)
   DEBUG: 2026-03-09 18:03:28,406:      pdf_renderer.py:  470: printSegment: Good 
   DEBUG: 2026-03-09 18:03:28,407:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-09 18:03:28,409:      pdf_renderer.py:  470: printSegment: morning/afternoon
   DEBUG: 2026-03-09 18:03:28,410:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-09 18:03:28,410:      pdf_renderer.py:  470: printSegment:  everyone. My name is 
   DEBUG: 2026-03-09 18:03:28,411:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-09 18:03:28,412:      pdf_renderer.py:  470: printSegment: NAME
   DEBUG: 2026-03-09 18:03:28,412:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2026-03-09 18:03:28,413:      pdf_renderer.py:  470: printSegment: , and along with 
   DEBUG: 2026-03-09 18:03:28,414:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2026-03-09 18:03:28,414:      pdf_renderer.py:  470: printSegment: TEAMMATES
