date,drug_name,units_sold,category
2024-01-01,Amoxicillin_500mg,12,Antibiotic
2024-01-02,Amoxicillin_500mg,31,Antibiotic
2024-01-03,Amoxicillin_500mg,22,Antibiotic
2024-01-04,Amoxicillin_500mg,29,Antibiotic
2024-01-05,Amoxicillin_500mg,27,Antibiotic
2024-01-06,Amoxicillin_500mg,12,Antibiotic
2024-01-07,Amoxicillin_500mg,6,Antibiotic
2024-01-08,Amoxicillin_500mg,32,Antibiotic
2024-01-09,Amoxicillin_500mg,25,Antibiotic
2024-01-10,Amoxicillin_500mg,29,Antibiotic
2024-01-11,Amoxicillin_500mg,20,Antibiotic
2024-01-12,Amoxicillin_500mg,31,Antibiotic
2024-01-13,Amoxicillin_500mg,16,Antibiotic
2024-01-14,Amoxicillin_500mg,6,Antibiotic
2024-01-15,Amoxicillin_500mg,5,Antibiotic
2024-01-16,Amoxicillin_500mg,40,Antibiotic
2024-01-17,Amoxicillin_500mg,25,Antibiotic
2024-01-18,Amoxicillin_500mg,36,Antibiotic
2024-01-19,Amoxicillin_500mg,34,Antibiotic
2024-01-20,Amoxicillin_500mg,15,Antibiotic
2024-01-21,Amoxicillin_500mg,8,Antibiotic
2024-01-22,Amoxicillin_500mg,38,Antibiotic
2024-01-23,Amoxicillin_500mg,39,Antibiotic
2024-01-24,Amoxicillin_500mg,38,Antibiotic
2024-01-25,Amoxicillin_500mg,27,Antibiotic
2024-01-26,Amoxicillin_500mg,28,Antibiotic
2024-01-27,Amoxicillin_500mg,24,Antibiotic
2024-01-28,Amoxicillin_500mg,9,Antibiotic
2024-01-29,Amoxicillin_500mg,21,Antibiotic
2024-01-30,Amoxicillin_500mg,25,Antibiotic
2024-01-31,Amoxicillin_500mg,33,Antibiotic
2024-02-01,Amoxicillin_500mg,30,Antibiotic
2024-02-02,Amoxicillin_500mg,29,Antibiotic
2024-02-03,Amoxicillin_500mg,18,Antibiotic
2024-02-04,Amoxicillin_500mg,7,Antibiotic
2024-02-05,Amoxicillin_500mg,37,Antibiotic
2024-02-06,Amoxicillin_500mg,31,Antibiotic
2024-02-07,Amoxicillin_500mg,35,Antibiotic
2024-02-08,Amoxicillin_500mg,30,Antibiotic
2024-02-09,Amoxicillin_500mg,22,Antibiotic
2024-02-10,Amoxicillin_500mg,9,Antibiotic
2024-02-11,Amoxicillin_500mg,12,Antibiotic
2024-02-12,Amoxicillin_500mg,28,Antibiotic
2024-02-13,Amoxicillin_500mg,31,Antibiotic
2024-02-14,Amoxicillin_500mg,29,Antibiotic
2024-02-15,Amoxicillin_500mg,36,Antibiotic
2024-02-16,Amoxicillin_500mg,38,Antibiotic
2024-02-17,Amoxicillin_500mg,15,Antibiotic
2024-02-18,Amoxicillin_500mg,14,Antibiotic
2024-02-19,Amoxicillin_500mg,16,Antibiotic
2024-02-20,Amoxicillin_500mg,35,Antibiotic
2024-02-21,Amoxicillin_500mg,24,Antibiotic
2024-02-22,Amoxicillin_500mg,26,Antibiotic
2024-02-23,Amoxicillin_500mg,28,Antibiotic
2024-02-24,Amoxicillin_500mg,16,Antibiotic
2024-02-25,Amoxicillin_500mg,7,Antibiotic
2024-02-26,Amoxicillin_500mg,32,Antibiotic
2024-02-27,Amoxicillin_500mg,29,Antibiotic
2024-02-28,Amoxicillin_500mg,26,Antibiotic
2024-02-29,Amoxicillin_500mg,30,Antibiotic
2024-03-01,Amoxicillin_500mg,18,Antibiotic
2024-03-02,Amoxicillin_500mg,9,Antibiotic
2024-03-03,Amoxicillin_500mg,7,Antibiotic
2024-03-04,Amoxicillin_500mg,30,Antibiotic
